0.4,2
0.6,3
0.8,4
1,5
1.2,6
1.4,7
1.6,8
1.8,9
2,10
2.2,11
2.4,12
2.6,13
2.8,14
3,15
3.2,16
3.4,17
3.6,18
3.8,19
4,20
4.2,21
4.4,22
4.6,23
4.8,24
5,25
5.2,26
5.4,27
5.6,28
5.8,29
6,30
6.2,31
6.4,32
6.6,33
6.8,34
7,35
7.2,36
7.4,37
7.6,38
7.8,39
8,40
8.2,41
8.4,42
8.6,43
8.8,44
9,45
9.2,46
9.4,47
9.6,48
9.8,49
10,50
10.2,51
10.4,52
10.6,53
10.8,54
11,55
11.2,56
11.4,57
11.6,58
11.8,59
12,60
12.2,61
12.4,62
12.6,63
12.8,64
13,65
13.2,66
13.4,67
13.6,68
13.8,69
14,70
14.2,71
14.4,72
14.6,73
14.8,74
15,75
15.2,76
15.4,77
15.6,78
15.8,79
16,80
16.2,81
16.4,82
16.6,83
16.8,84
17,85
17.2,86
17.4,87
17.6,88
17.8,89
18,90
18.2,91
18.4,92
18.6,93
18.8,94
19,95
19.2,96
19.4,97
19.6,98
19.8,99
